code,alpha2_code,iso_3166_2_code,citizenship_code,name_uz,name_uz_cyril,name_ru,name_kaa
KWT,KW,ISO 3166-2:KW,34,Quvayt,Қувайт,Кувейт,Kuveyt
LAO,LA,ISO 3166-2:LA,77,Laos,Лаос,Лаос,Laos
LBN,LB,ISO 3166-2:LB,79,Livan,Ливан,Ливан,Livan
LBR,LR,ISO 3166-2:LR,157,Liberiya,Либерия,Либерия,Liberiya
LBY,LY,ISO 3166-2:LY,207,Liviya,Ливия,Ливия,Liviya
LCA,LC,ISO 3166-2:LC,197,Sent-lyusiya,Сент-люсия,Сент-люсия,Sent-lyusiya
LIE,LI,ISO 3166-2:LI,58,Lixtenshteyn,Лихтенштейн,Лихтенштейн,Lixtenshteyn
LKA,LK,ISO 3166-2:LK,42,Shri-lanka,Шри-ланка,Шри-ланка,Shri-lanka
LSO,LS,ISO 3166-2:LS,67,Lesoto,Лесото,Лесото,Lesoto
LTU,LT,ISO 3166-2:LT,80,Litva,Литва,Литва,Litva
LUX,LU,ISO 3166-2:LU,18,Lyuksemburg,Люксембург,Люксембург,Lyuksemburg
LVA,LV,ISO 3166-2:LV,78,Latviya,Латвия,Латвия,Latviya
MAC,MO,ISO 3166-2:MO,82,Makao (xitoy mmh),Макао (хитой ммҳ),Макао (сар),Makao aar
MAF,MF,ISO 3166-2:MF,,Sent-martin,Сент-мартин,Сен-мартен,Sen-marten
MAR,MA,ISO 3166-2:MA,68,Marokash,Марокаш,Марокко,Marokko
MCO,MC,ISO 3166-2:MC,59,Monako,Монако,Монако,Monako
MDA,MD,ISO 3166-2:MD,161,Moldova,Молдова,Молдова,Moldova
MDG,MG,ISO 3166-2:MG,40,Madagaskar,Мадагаскар,Мадагаскар,Madagaskar
MDV,MV,ISO 3166-2:MV,86,Maldiv orollari,Мальдив ороллари,Мальдивы,Maldiv
MEX,MX,ISO 3166-2:MX,89,Meksika,Мексика,Мексика,Meksika
MHL,MH,ISO 3166-2:MH,88,Marshall orollari,Маршал ороллари,Маршалловы о-ва,Marshall atawları
MKD,MK,ISO 3166-2:MK,83,Shimoliy makedoniya,Шимолий македония,Северная македония,Arqa makedoniya
MLI,ML,ISO 3166-2:ML,159,Mali,Мали,Мали,Mali
MLT,MT,ISO 3166-2:MT,160,Malta,Мальта,Мальта,Malta
MMR,MM,ISO 3166-2:MM,208,Myanma (birma),Мьянма (бирма),Мьянма (бирма),Myanma (birma)
MNE,ME,ISO 3166-2:ME,,Chernogoriya,Черногория,Черногория,Chernogoriya
MNG,MN,ISO 3166-2:MN,90,Mongoliya,Монголия,Монголия,Mongoliya
MNP,MP,ISO 3166-2:MP,202,Shimoliy mariana orollari,Шимолий марианна ороллари,Северные марианские о-ва,Arqa mariana atawları
MOZ,MZ,ISO 3166-2:MZ,98,Mozambik,Мозамбик,Мозамбик,Mozambik
MRT,MR,ISO 3166-2:MR,51,Mavritaniya,Мавритания,Мавритания,Mavritaniya
MSR,MS,ISO 3166-2:MS,91,Montserrat,Монтсеррат,Монтсеррат,Montserrat
MTQ,MQ,ISO 3166-2:MQ,87,Martinika,Мартиника,Мартиника,Martinika
MUS,MU,ISO 3166-2:MU,81,Mavrikiy,Маврикий,Маврикий,Mavrikiy
MWI,MW,ISO 3166-2:MW,158,Malavi,Малави,Малави,Malavi
MYS,MY,ISO 3166-2:MY,84,Malayziya,Малайзия,Малайзия,Malayziya
MYT,YT,ISO 3166-2:YT,276,Mayotta,Майотта,Майотта,Mayotta
NAM,NA,ISO 3166-2:NA,92,Namibiya,Намибия,Намибия,Namibiya
NCL,NC,ISO 3166-2:NC,102,Yangi kaledoniya,Янги каледония,Новая каледония,Jańa kaledoniya
NER,NE,ISO 3166-2:NE,163,Niger,Нигер,Нигер,Niger
NFK,NF,ISO 3166-2:NF,103,Norfolk oroli,Норфолк ороллари,О-в норфолк,Norfolk atawı
NGA,NG,ISO 3166-2:NG,223,Nigeriya,Нигерия,Нигерия,Nigeriya
NIC,NI,ISO 3166-2:NI,164,Nikaragua,Никарагуа,Никарагуа,Nikaragua
NIU,NU,ISO 3166-2:NU,100,Niue,Ниуэ,Ниуэ,Niue
NLD,NL,ISO 3166-2:NL,70,Niderlandiya,Нидерландия,Нидерланды,Niderlandiya
NOR,NO,ISO 3166-2:NO,71,Norvegiya,Норвегия,Норвегия,Norvegiya
NPL,NP,ISO 3166-2:NP,69,Nepal,Непал,Непал,Nepal
NRU,NR,ISO 3166-2:NR,162,Nauru,Науру,Науру,Nauru
NZL,NZ,ISO 3166-2:NZ,101,Yangi zelandiya,Янги зеландия,Новая зеландия,Jańa zelandiya
OMN,OM,ISO 3166-2:OM,210,Ummon,Уммон,Оман,Oman
PAK,PK,ISO 3166-2:PK,52,Pokiston,Покистон,Пакистан,Pakistan
PAN,PA,ISO 3166-2:PA,166,Panama,Панама,Панама,Panama
PCN,PN,ISO 3166-2:PN,118,Pitkern orollari,Питкэрн ороллари,О-ва питкэрн,Pitkern atawları
PER,PE,ISO 3166-2:PE,168,Peru,Перу,Перу,Peru
PHL,PH,ISO 3166-2:PH,184,Filippin,Филиппин,Филиппины,Filippin
PLW,PW,ISO 3166-2:PW,165,Palau,Палау,Палау,Palau
PNG,PG,ISO 3166-2:PG,117,Papua – yangi gvineya,Папуа - янги гвинея,Папуа — новая гвинея,Papua — jańa gvineya
POL,PL,ISO 3166-2:PL,169,Polsha,Польша,Польша,Polsha
PRI,PR,ISO 3166-2:PR,120,Puerto-riko,Пуэрто-рико,Пуэрто-рико,Puerto-riko
PRK,KP,ISO 3166-2:KP,62,Shimoliy koreya,Шимолий корея,Корейская народно-демократическая республика,Arqa koreya
PRT,PT,ISO 3166-2:PT,119,Portugaliya,Португалия,Португалия,Portugaliya
PRY,PY,ISO 3166-2:PY,167,Paragvay,Парагвай,Парагвай,Paragvay
PSE,PS,ISO 3166-2:PS,277,Falastin hududlari,Фаластин ҳудуди,Палестинские территории,Palestina territoriyaları
PYF,PF,ISO 3166-2:PF,228,Fransuz polineziyasi,Француз полинезияси,Французская полинезия,Francuz polineziyası
QAT,QA,ISO 3166-2:QA,33,Qatar,Қатар,Катар,Qatar
REU,RE,ISO 3166-2:RE,191,Reyunion,Реюнион,Реюньон,Reyunon
ROU,RO,ISO 3166-2:RO,170,Ruminiya,Руминия,Румыния,Rumıniya
RUS,RU,ISO 3166-2:RU,192,Rossiya,Россия,Россия,Rossiya
RWA,RW,ISO 3166-2:RW,193,Ruanda,Руанда,Руанда,Ruanda
SAU,SA,ISO 3166-2:SA,72,Saudiya arabistoni,Саудия арабистони,Саудовская аравия,Saudiya arabstanı
SDN,SD,ISO 3166-2:SD,176,Sudan,Судан,Судан,Sudan
SEN,SN,ISO 3166-2:SN,173,Senegal,Сенегал,Сенегал,Senegal
SGP,SG,ISO 3166-2:SG,174,Singapur,Сингапур,Сингапур,Singapur
SGS,GS,ISO 3166-2:GS,,Janubiy georgiya va janubiy sendvich orollari,Жанубий георгия ва жанубий сендвич ороллари,Южная георгия и южные сандвичевы о-ва,Qubla georgiya hám qubla sendvich atawları
SHN,SH,ISO 3166-2:SH,,Muqaddas yelena oroli,Муқаддас елена ороли,О-в св. елены,Áwliye elena
SJM,SJ,ISO 3166-2:SJ,235,Shpitsbergen va yan-mayen,Свалбард ва ян-майен,Шпицберген и ян-майен,Shpicbergen hám yan-mayen
SLB,SB,ISO 3166-2:SB,205,Solomon orollari,Соломон ороллари,Соломоновы о-ва,Solomon atawları
SLE,SL,ISO 3166-2:SL,178,Syerra-leone,Сьерра-леоне,Сьерра-леоне,Serra-leone
SLV,SV,ISO 3166-2:SV,257,Salvador,Салвадор,Сальвадор,Salvador
SMR,SM,ISO 3166-2:SM,171,San-marino,Сан-марино,Сан-марино,San-marino
SOM,SO,ISO 3166-2:SO,206,Somali,Сомали,Сомали,Somali
SPM,PM,ISO 3166-2:PM,196,Sen-pyer va mikelon,Сент-пьер ва микелон,Сен-пьер и микелон,Sen-per hám mikelon
SRB,RS,ISO 3166-2:RS,,Serbiya,Сербия,Сербия,Serbiya
SSD,SS,ISO 3166-2:SS,,Janubiy sudan,Жанубий судан,Южный судан,Qubla sudan
STP,ST,ISO 3166-2:ST,41,San-tome va prinsipi,Сан-томе ва принсипи,Сан-томе и принсипи,San-tome hám prinsipi
SUR,SR,ISO 3166-2:SR,177,Surinam,Суринам,Суринам,Surinam
SVK,SK,ISO 3166-2:SK,199,Slovakiya,Словакия,Словакия,Slovakiya
SVN,SI,ISO 3166-2:SI,175,Sloveniya,Словения,Словения,Sloveniya
SWE,SE,ISO 3166-2:SE,76,Shvetsiya,Швеция,Швеция,Shveciya
SWZ,SZ,ISO 3166-2:SZ,,Svazilend,Свазиленд,Эсватини,Esvatini
SXM,SX,ISO 3166-2:SX,,Sint-marten,Синт-мартен,Синт-мартен,Sint-marten
SYC,SC,ISO 3166-2:SC,172,Seyshel orollari,Сейшел ороллари,Сейшельские о-ва,Seyshel atawları
SYR,SY,ISO 3166-2:SY,198,Suriya,Сурия,Сирия,Siriya
TCA,TC,ISO 3166-2:TC,212,Turks va kaykos orollari,Туркс ва кайкос ороллари,Тёркс и кайкос,Tyorks hám kaykos atawları
TCD,TD,ISO 3166-2:TD,505,Chad,Чад,Чад,Chad
TGO,TG,ISO 3166-2:TG,213,Togo,Того,Того,Togo
THA,TH,ISO 3166-2:TH,74,Tailand,Таиланд,Таиланд,Tailand
TJK,TJ,ISO 3166-2:TJ,179,Tojikiston,Тожикистон,Таджикистан,Tájikstan
TKL,TK,ISO 3166-2:TK,214,Tokelau,Токелау,Токелау,Tokelau
TKM,TM,ISO 3166-2:TM,218,Turkmaniston,Туркманистон,Туркменистан,Túrkmenstan
TLS,TL,ISO 3166-2:TL,22,Timor-leste,Тимор-лесте,Восточный тимор,Shıǵıs timor
TON,TO,ISO 3166-2:TO,75,Tonga,Тонга,Тонга,Tonga
TTO,TT,ISO 3166-2:TT,180,Trinidad va tobago,Тринидад ва тобаго,Тринидад и тобаго,Trinidad hám tobago
TUN,TN,ISO 3166-2:TN,216,Tunis,Тунис,Тунис,Tunis
TUR,TR,ISO 3166-2:TR,217,Turkiya,Туркия,Турция,Túrkiya
TUV,TV,ISO 3166-2:TV,215,Tuvalu,Тувалу,Тувалу,Tuvalu
TWN,TW,ISO 3166-2:TW,211,Tayvan,Тайван,Тайвань,Tayvan
TZA,TZ,ISO 3166-2:TZ,104,Tanzaniya,Танзания,Танзания,Tanzaniya
UGA,UG,ISO 3166-2:UG,181,Uganda,Уганда,Уганда,Uganda
UKR,UA,ISO 3166-2:UA,219,Ukraina,Украина,Украина,Ukraina
UMI,UM,ISO 3166-2:UM,,Aqsh yondosh orollari,Ақш ёндош ороллари,Внешние малые о-ва (сша),Amerika qurama shtatlarınıń kishik sırtqı atawları
URY,UY,ISO 3166-2:UY,21,Urugvay,Уругвай,Уругвай,Urugvay
USA,US,ISO 3166-2:US,204,Amerika qo‘shma shtatlari,Америка қўшма штатлари,Соединенные штаты,Amerika qurama shtatları
UZB,UZ,ISO 3166-2:UZ,182,Oʻzbekiston,Ўзбекистон,Узбекистан,Ózbekstan
VAT,VA,ISO 3166-2:VA,35,Vatikan,Ватикан,Ватикан,Vatikan
VCT,VC,ISO 3166-2:VC,195,Sent-vinsent va grenadin,Сент-винсент ва гренадин,Сент-винсент и гренадины,Sent-vinsent hám grenadin atawları
VEN,VE,ISO 3166-2:VE,129,Venesuela,Венесуэла,Венесуэла,Venesuela
