code,tin,name_ru
AN-214009,204804762,Шинам
AN-214010,202779764,Наврозобод
AN-214012,202779724,Бештерак
AN-214013,202756326,Урганжи
AN-214014,202756151,Куйган-ёр
AN-214015,202779843,Гуркиров
AN-214016,202756168,Узункуча
AN-214017,202756208,Кумкоча
AN-214018,202779850,Бешмирза
AN-214019,202756190,Юкори Чувама
AN-214020,206955424,Чортонлик
AN-214021,202779788,Истиклол
AN-214022,202779732,Гузар
AN-214023,202779700,Тораобод
AN-214024,202756341,Тошлок
AN-214025,202801095,Елатан
AN-214026,202779795,Янгиобод
AN-214027,202756413,Зарбдор
AN-214028,202756334,Даминбойчек
AN-214029,202756279,Гулистон
AN-214030,202756358,Юкори хосил
AN-214031,202756420,Солбоши
AN-214033,204776711,Уртакишлок
AN-214034,202756183,Тараккиёт
AN-214035,202779804,Достлик
AN-214036,202756373,Мирзо Улугбек
AN-214037,202756215,Тошкечик
AN-214038,202779811,Ботиробод
AN-214040,202805200,Ифтихор
AN-214041,202779684,Гудур
AN-214042,202779835,Тинчлик
AN-214043,202809639,Ок-олтин
AN-214044,202779867,Жонобод
AN-214045,202801064,Бостон
AN-214046,202756262,Ровот
AN-214047,202756405,Навжур
AN-214048,202756247,Янги авлод
AN-214050,202756437,Бархаёт
AN-214051,202756230,Дарёбойи
AN-214053,202801071,Юкори
AN-214054,202756223,Кораёнток
AN-214055,202779692,Обод
AN-214056,202779828,А.Жоми
AN-214057,202801088,Анорзор
AN-214058,202779771,Торткол
AN-214059,202756254,Туячи
AN-214060,202779874,Кошкоприк
AN-214061,202809622,Бирлашган
AN-214063,202756365,Чекёр
AN-17070018,202779749,Жаxонобод
AN-17070062,305566763,Янги бостон обод
AN-17070030,202756286,Кугай
AN-17070021,202756397,Захириддин Мухаммад Бобур
AN-17070032,202756319,Мангуберди
AN-17070052,202779717,Хаккулобод
AN-17070026,202756302,Кашкарлик
AN-217002,204758321,Бобур
AN-217003,206825102,Сарик Сув
AN-217004,204232644,Янгиобод
AN-217005,206824174,Бостон
AN-217006,204232580,Мингбулок
AN-217007,204232597,Теракзор
AN-217009,204232605,Чолобод
AN-217010,206823034,Узбекистан
AN-217011,206823041,Файзиобод
AN-217012,207226388,Нуробод
AN-217013,207153044,Обод
AN-217014,207153052,Улугбек
AN-217015,204821687,Учкоприк
AN-217016,204232613,Мингчинор
AN-217017,204232620,Ок том
AN-217018,204552136,Гулистон
AN-217019,204232637,Торттол
AN-217020,204232573,Авулмат
AN-217021,206200643,Фазогир
AN-17110022,308991510,Келажак
AN-17110023,308991384,Наъмуна
AN-17110020,204232565,Шахриобод
AN-17110024,308991606,Ёшлик
AN-220001,204340954,Янги хаёт
