code,deleted
NG-237037,true
NG-237039,true
NG-237040,true
NG-237064,true
NG-237067,true
NG-242005,true
NG-242013,true
NG-242023,true
NG-242038,true
NG-242039,true
NG-242040,true
NG-242044,true
NG-242045,true
NG-242063,true
NG-242066,true
NG-243999,true
NG-244999,true
NG-401001,true
NG-401003,true
NG-401004,true
NG-401005,true
NG-401006,true
NG-401009,true
NG-401011,true
NG-401012,true
NG-401015,true
NG-401018,true
NG-401019,true
NG-401020,true
NG-401021,true
NG-401023,true
NG-401027,true
NG-401028,true
NG-401033,true
NG-401034,true
NG-401035,true
NG-401036,true
NG-401039,true
NG-401040,true
NG-401042,true
NG-401046,true
NG-401048,true
NG-401050,true
NG-401051,true
NG-401052,true
NG-401053,true
NG-401054,true
NG-401055,true
NG-401057,true
NG-401064,true
NG-401065,true
NG-401066,true
NG-401069,true
NG-401071,true
NG-401074,true
NG-401075,true
NG-401076,true
NG-401077,true
NG-401078,true
NG-401081,true
NG-401082,true
NG-401083,true
NG-401084,true
NG-401089,true
NG-401090,true
NG-401092,true
NG-401093,true
NG-401094,true
NG-401095,true
NG-401099,true
NG-401102,true
NG-402999,true
NG-403999,true
NG-404999,true
NG-405999,true
NG-406999,true
NW-211004,true
NW-211008,true
NW-211010,true
NW-211012,true
NW-211013,true
NW-216011,true
NW-216014,true
NW-216018,true
NW-216020,true
NW-216027,true
NW-216034,true
NW-216043,true
NW-216044,true
NW-230006,true
NW-230009,true
NW-230013,true
NW-230017,true
NW-230033,true
NW-234010,true
NW-234014,true
NW-234017,true
NW-234022,true
NW-234024,true
NW-234034,true
NW-234035,true
NW-238002,true
NW-238004,true
NW-238007,true
NW-238008,true
NW-238009,true
NW-238015,true
NW-238021,true
NW-238022,true
NW-238028,true
NW-238029,true
NW-238030,true
NW-248012,true
NW-251048,true
NW-251052,true
NW-252999,true
NW-401009,true
NW-401019,true
NW-401022,true
NW-401030,true
NW-413999,true
QA-207006,true
QA-207016,true
QA-207017,true
QA-207021,true
QA-207023,true
QA-212002,true
QA-212007,true
QA-212021,true
QA-212024,true
QA-212027,true
QA-212029,true
QA-212033,true
QA-212042,true
QA-220008,true
QA-220009,true
QA-220012,true
QA-220013,true
QA-220023,true
QA-220025,true
QA-220030,true
QA-220043,true
QA-220050,true
QA-220051,true
QA-220053,true
QA-220058,true
QA-220059,true
QA-220060,true
QA-224007,true
QA-224021,true
QA-224023,true
QA-224026,true
QA-224029,true
QA-224035,true
QA-224036,true
QA-224039,true
QA-224040,true
QA-224043,true
QA-224044,true
QA-229004,true
QA-229019,true
QA-229033,true
QA-229038,true
QA-229049,true
QA-232003,true
QA-232007,true
QA-232020,true
QA-232022,true
QA-232044,true
QA-232046,true
QA-232050,true
QA-232052,true
QA-232057,true
QA-232059,true
QA-233008,true
QA-233014,true
QA-233016,true
QA-233019,true
QA-233021,true
QA-233027,true
QA-233028,true
QA-234006,true
QA-234018,true
QA-234021,true
QA-234025,true
QA-235002,true
QA-235025,true
QA-235027,true
QA-235028,true
QA-237009,true
QA-237012,true
QA-237015,true
QA-237016,true
QA-237021,true
QA-237022,true
QA-237030,true
QA-237036,true
QA-237039,true
QA-242003,true
QA-242004,true
QA-242005,true
QA-242006,true
QA-242007,true
QA-242008,true
QA-242009,true
QA-242010,true
QA-242011,true
QA-242012,true
QA-242013,true
QA-242014,true
QA-242015,true
QA-242016,true
QA-242017,true
QA-242018,true
QA-242019,true
QA-242020,true
QA-242021,true
QA-242022,true
QA-242023,true
QA-242034,true
QA-242038,true
QA-242039,true
QA-242040,true
QA-242041,true
QA-242042,true
QA-242043,true
QA-242044,true
QA-242045,true
QA-242046,true
QA-242055,true
QA-242057,true
QA-242059,true
QA-242064,true
QA-242065,true
QA-242069,true
QA-242073,true
QA-242075,true
QA-242080,true
QA-242082,true
QA-242085,true
QA-242086,true
QA-245026,true
QA-245031,true
QA-245032,true
QA-245036,true
QA-245038,true
QA-245057,true
QA-250009,true
QA-250011,true
QA-250015,true
QA-250020,true
QA-250022,true
QA-250034,true
QA-250040,true
QA-250048,true
QA-250049,true
QA-250052,true
QA-251999,true
QA-401010,true
QA-401018,true
QA-401026,true
QA-401033,true
QA-401034,true
QA-401038,true
QA-401046,true
QA-401055,true
QA-401056,true
QA-401057,true
QA-401061,true
QA-405002,true
QA-405003,true
QA-405011,true
QA-405019,true
QA-405029,true
QA-405034,true
QA-405037,true
QR-204007,true
QR-204023,true
QR-204024,true
QR-204039,true
QR-207002,true
QR-207003,true
QR-207004,true
QR-207007,true
QR-207012,true
QR-207014,true
QR-207022,true
QR-207024,true
QR-207026,true
QR-207029,true
QR-209002,true
QR-209004,true
QR-209005,true
QR-211001,true
QR-211002,true
QR-211004,true
QR-211005,true
QR-211007,true
QR-211008,true
QR-211009,true
QR-211011,true
QR-211012,true
QR-212006,true
QR-212012,true
QR-215008,true
QR-215016,true
QR-215017,true
QR-215021,true
QR-215025,true
QR-215033,true
QR-218002,true
QR-218003,true
QR-218004,true
QR-218005,true
QR-218006,true
QR-218007,true
QR-218010,true
QR-218011,true
QR-222001,true
QR-222002,true
QR-222004,true
QR-222005,true
QR-222006,true
QR-222007,true
QR-222008,true
QR-222010,true
QR-222011,true
QR-225001,true
QR-225009,true
QR-225010,true
QR-228002,true
QR-228005,true
QR-228006,true
QR-228007,true
QR-228009,true
QR-228010,true
QR-228012,true
QR-228013,true
QR-230003,true
QR-230007,true
QR-230010,true
QR-230013,true
QR-230014,true
QR-230015,true
QR-230016,true
QR-233035,true
QR-233036,true
QR-236008,true
QR-236018,true
QR-236019,true
QR-236020,true
QR-236022,true
QR-236024,true
QR-240014,true
QR-240015,true
QR-240021,true
QR-243011,true
QR-250004,true
QR-250025,true
QR-250029,true
QR-250032,true
QR-401001,true
QR-401002,true
QR-401007,true
QR-401009,true
QR-401013,true
QR-401015,true
QR-401016,true
QR-401023,true
QR-401026,true
QR-401028,true
QR-401030,true
QR-401035,true
QR-401036,true
QR-401047,true
QR-401052,true
QR-401054,true
QR-402999,true
QR-403999,true
QR-404999,true
QR-405999,true
QR-406999,true
QR-407999,true
SA-203001,true
SA-203006,true
SA-203011,true
SA-203017,true
SA-203018,true
SA-203022,true
SA-203035,true
SA-206001,true
SA-206005,true
SA-206019,true
SA-206024,true
SA-206026,true
SA-206034,true
SA-206040,true
SA-206043,true
SA-206044,true
SA-209001,true
SA-209007,true
SA-209010,true
SA-209021,true
SA-209036,true
SA-212007,true
SA-212010,true
SA-212017,true
SA-212023,true
SA-212032,true
SA-212039,true
SA-212047,true
SA-212057,true
SA-212058,true
SA-215003,true
SA-215004,true
SA-215023,true
SA-215038,true
SA-215058,true
SA-216016,true
SA-216018,true
SA-216022,true
SA-216023,true
SA-216030,true
SA-216034,true
SA-216035,true
SA-216041,true
SA-218010,true
SA-218020,true
SA-218029,true
SA-218030,true
SA-218034,true
SA-218039,true
SA-218043,true
SA-218044,true
SA-218045,true
SA-218046,true
SA-218048,true
SA-218052,true
SA-218055,true
SA-224001,true
SA-224021,true
SA-224031,true
SA-224036,true
SA-224045,true
SA-224054,true
SA-227005,true
SA-227021,true
SA-227024,true
SA-227025,true
SA-227027,true
SA-227028,true
SA-227029,true
SA-227034,true
SA-227040,true
SA-227041,true
SA-227042,true
SA-227047,true
SA-227048,true
SA-227052,true
SA-227054,true
SA-227058,true
SA-227059,true
SA-227072,true
SA-227081,true
SA-227086,true
SA-227087,true
SA-227089,true
SA-227092,true
SA-227094,true
SA-227095,true
SA-227096,true
SA-227098,true
SA-227101,true
SA-230001,true
SA-230006,true
SA-230008,true
SA-230010,true
SA-230011,true
SA-230012,true
SA-230016,true
SA-230018,true
SA-230034,true
SA-230040,true
SA-230042,true
SA-230044,true
SA-230045,true
SA-230047,true
SA-233010,true
SA-233016,true
SA-233018,true
SA-233020,true
SA-233027,true
SA-233031,true
SA-233040,true
SA-233050,true
SA-233059,true
SA-235011,true
SA-235016,true
SA-235019,true
SA-235027,true
SA-235030,true
SA-236016,true
SA-236018,true
SA-236024,true
SA-236025,true
SA-236045,true
SA-236053,true
SA-236055,true
SA-236066,true
SA-236067,true
SA-236078,true
SA-236081,true
SA-236090,true
SA-236098,true
SA-236102,true
SA-238005,true
SA-238007,true
SA-238020,true
SA-238031,true
SA-239999,true
SA-240999,true
SA-241999,true
SA-242999,true
SA-243999,true
SA-401001,true
SA-401002,true
SA-401004,true
SA-401005,true
SA-401011,true
SA-401014,true
SA-401016,true
SA-401017,true
SA-401018,true
SA-401019,true
SA-401022,true
SA-401023,true
SA-401024,true
SA-401030,true
SA-401032,true
SA-401037,true
SA-401038,true
SA-401039,true
SA-401041,true
SA-401042,true
SA-401043,true
SA-401045,true
SA-401046,true
SA-401048,true
SA-401049,true
SA-401051,true
SA-401054,true
SA-401057,true
SA-401058,true
SA-401062,true
SA-401063,true
SA-401065,true
SA-401066,true
SA-401069,true
SA-401071,true
SA-401076,true
SA-401081,true
SA-401082,true
SA-401087,true
SA-401088,true
SA-401090,true
SA-401091,true
SA-401096,true
SA-401099,true
SA-401101,true
SA-401103,true
SA-401104,true
SA-401106,true
SA-401107,true
SA-401108,true
SA-401109,true
SA-401110,true
SA-401113,true
SA-401115,true
SA-401116,true
SA-401122,true
SA-401124,true
SA-401126,true
SA-401129,true
SA-401134,true
SA-401141,true
SA-401144,true
SA-401157,true
SA-401158,true
SA-401159,true
